timestamp,wind_dir,wind_speed,gust,visibility,temp,dewpoint,pressure
2026-07-11 06:30:00,250,13,23,4000,31,25,1009
2026-07-11 07:00:00,250,12,22,4000,31,26,1009
2026-07-11 07:30:00,250,16,26,4000,31,26,1008
2026-07-11 08:00:00,240,14,24,4000,31,26,1008
2026-07-11 08:30:00,250,16,16,4000,31,25,1008
2026-07-11 09:00:00,240,15,15,4000,31,26,1007
2026-07-11 09:30:00,240,12,22,4000,31,26,1007
2026-07-11 10:00:00,250,15,15,4000,31,26,1007
2026-07-11 10:30:00,240,13,13,4000,31,26,1007
2026-07-11 11:00:00,240,13,13,4000,31,26,1006
2026-07-11 11:30:00,250,14,14,4000,31,26,1006
2026-07-11 12:00:00,250,12,12,4000,31,26,1006
2026-07-11 12:30:00,240,13,13,4000,30,26,1006
2026-07-11 13:00:00,240,13,13,4000,30,26,1007
2026-07-11 13:30:00,240,12,12,4000,30,26,1007
2026-07-11 14:00:00,240,12,12,4000,30,25,1007
2026-07-11 14:30:00,230,11,11,4000,30,25,1007
2026-07-11 15:00:00,230,11,22,4000,30,25,1007
2026-07-11 15:30:00,240,12,25,4000,29,26,1007
2026-07-11 16:00:00,230,10,10,4000,29,25,1007
2026-07-11 16:30:00,240,10,20,4000,29,25,1007
2026-07-11 17:00:00,230,9,9,4000,29,26,1007
2026-07-11 17:30:00,240,11,11,4000,29,25,1007
2026-07-11 18:00:00,240,9,19,4000,29,26,1007
2026-07-11 18:30:00,240,8,8,4000,29,26,1007
2026-07-11 19:00:00,240,10,10,4000,29,25,1006
2026-07-11 19:30:00,250,10,10,4000,29,26,1006
2026-07-11 20:00:00,230,9,9,4000,29,26,1006
2026-07-11 20:30:00,240,9,9,4000,29,26,1005
2026-07-11 21:00:00,230,8,8,4000,29,26,1005
2026-07-11 21:30:00,240,11,21,4000,29,26,1005
2026-07-11 22:00:00,240,10,10,4000,29,25,1004
2026-07-11 22:30:00,230,9,9,4000,29,26,1004
2026-07-11 23:00:00,230,10,10,4000,29,26,1004
2026-07-11 23:30:00,230,8,18,4000,29,26,1005
2026-07-12 00:00:00,220,9,19,4000,29,26,1005
2026-07-12 00:30:00,230,10,22,4000,29,26,1005
2026-07-12 01:00:00,230,11,24,4000,29,25,1005
2026-07-12 01:30:00,230,9,24,4000,29,26,1005
2026-07-12 02:00:00,240,10,10,4000,29,26,1006
2026-07-12 02:30:00,230,10,10,4000,29,26,1006
2026-07-12 03:00:00,230,10,20,4000,30,26,1006
2026-07-12 03:30:00,230,10,20,4000,30,26,1006
2026-07-12 04:00:00,220,13,13,4000,30,26,1006
